n. intervista,clip_n,intervistato,VIDEO CHE DEVONO ESSERCI IL 15/6,Check website,top,estero,tema,data_intervista,nome_file,starter_id,clip_id,status,combinazione_colori,cover_titolo,check_length,sottopancia,parola_chiave_1,check_length,minutaggio_1,parola_chiave_2,check_length,minutaggio_2,parola_chiave_3,minutaggio_3,tags,srt_starter,srt_clip,thumb
1,1,Massimo Russo,x,EB,,,l'informazione,30-Aug,massimo_russo/01,kkBvWCjuJHg,UXzFzXgS_ws,approvato dall'intervistato,Blu/verde,Informazione su misura,22,Giornalista,Che cosa è importante,21,0'18'',Un unico menù,13,0'37'',,,informazione;diverso;tecnologico;tecnologico;positivo;digitale,,,img/thumbs/mrusso-thumb.png
1,2,Massimo Russo,x,EB,,,l'informazione,30-Aug,massimo_russo/02,8aVOd7tBHOg,lYuXk5gk5eI,approvato dall'intervistato,Rosso/giallo,News deejay,11,Giornalista,Selezionare,11,0'31'',Remixare,8,0'44'',,,lavoro;social;informazione,,,img/thumbs/mrusso-thumb.png
1,3,Massimo Russo,x,EB,,,l'informazione,30-Aug,massimo_russo/03,A87iLi3oGqU,HJMxCGmQC0o,approvato dall'intervistato,Magenta/ciano,Senza rumore,12,Giornalista,Miriade di schermi,18,0'10'',Fare gerarchia,14,0'50'',,,informazione,,,img/thumbs/mrusso-thumb.png
2,1,Chiara Marletto,x,MN,,,la fisica,25-Oct,chiara_marletto/02,vGL6w04GsCA,QBEdomSWZMw,approvato dall'intervistato,Blu/verde,"Molecole, iPhone e DNA",22,Fisica,Copia di informazione,21,0'16'',,,,,,scienza;ricerca;lavoro;innovativo,,,img/thumbs/cmarletto-thumb.png
2,2,Chiara Marletto,x,MN,,,la fisica,25-Oct,chiara_marletto/03,Ch9PH_duNvQ,alcIzvnVlXQ,approvato dall'intervistato,Rosso/giallo,Il computer quantistico,23,Fisica,Limite fisico,13,0'11'',Algoritmi,9,0'42'',lettura dei dati,1'00'',smart;informazione;ricerca;scienza;big data,,,img/thumbs/cmarletto-thumb.png
2,3,Chiara Marletto,x,MN,,,la fisica,25-Oct,chiara_marletto/01,rc1FjOrwgUg,-yOPvtFOvlA,approvato dall'intervistato,Magenta/ciano,Scienza per giovani,19,Fisica,insofferenza ai vincoli,23,0'20'',flessibile e fluida,19,0'57'',,,scienza;giovane;femminile;ricerca,,,img/thumbs/cmarletto-thumb.png
3,1,Eric Schmidt,x,MN,,Y,l'internet,14-Nov,eric_schmidt/01,VSAqVn_YcoY,KXIuNxr3tTY,approvato dall'intervistato,Blu/verde,Smartphone age and beyond,25,Executive Chairman Alphabet - Google,New category of devices,23,0'26'',,,,,,tecnologico;innovativo;rete;digitale,,,img/thumbs/eschmidt-thumb.png
3,2,Eric Schmidt,x,MN,,Y,l'internet,14-Nov,eric_schmidt/02,6GRkhSXVb0k,C2qnuDG35wg,approvato dall'intervistato,Rosso/giallo,Privacy at stake,16,Executive Chairman Alphabet - Google,Privacy and public information,30,0'15'',,,,,,rete;minacce;istituzioni;digitale,,,img/thumbs/eschmidt-thumb.png
3,3,Eric Schmidt,x,MN,,Y,l'internet,14-Nov,eric_schmidt/03,rjVVJaLvTOM,aY6CfUNCXBk,approvato dall'intervistato,Magenta/ciano,Smart life,10,Executive Chairman Alphabet - Google,Helps you,9,0'34'',Interaction,11,0'42'',how far does that go?,0'51'',smart;informazione;ricerca;diverso;positivo;digitale;visionario,,,img/thumbs/eschmidt-thumb.png
4,,Alessandro Laterza,x,,,,il Sud d'Italia,19-Oct,,,,rifacimento ven 10,Blu/verde,Pasta-therapy,13,Editore,Qualità,7,0'59'',Benessere,9,1'23'',-,-,Sud;Italia;crescita;ricerca;cibo;innovazione,,,img/thumbs/
4,,Alessandro Laterza,x,,,,il Sud d'Italia,19-Oct,,,,rifacimento ven 10,Rosso/giallo,Un Sud in pieno sviluppo,24,Editore,Capitale umano,14,2'44'',-,1,-,-,-,Sud;Italia;crescita;economia;scuola,,,img/thumbs/
4,,Alessandro Laterza,x,,,,il Sud d'Italia,19-Oct,,,,rifacimento ven 10,Magenta/ciano,Chiudere il divario,19,Editore,Realtà unitaria,15,3'39'',Invertire questa tendenza,25,4'19'',-,-,Sud;Italia;minacce,,,img/thumbs/
4b,1,Alessandro Laterza,x,MN,,,il Sud d'Italia,10-Mar,,lp9N-wQ0CX8,HSWXzqF6eWs,approvato dall'intervistato,Blu/verde,Sud per i giovani,17,Editore,i giovani se ne vanno,21,0'26'',nemico molto forte,18,1'09'',,,Sud;generazioni;giovane;immigrazione;crescita;legalità;minacce,,,
4b,2,Alessandro Laterza,x,MN,,,il Sud d'Italia,10-Mar,,XruNwUkM2c0,zW0u65Qt0us,approvato dall'intervistato,Rosso/giallo,Pasta therapy,13,Editore,specializzazione,16,0'34'',produce benessere,17,1'02'',,,Made in Italy;cibo;Sud;salute;innovativo,,,
4b,3,Alessandro Laterza,x,MN,,,il Sud d'Italia,10-Mar,,uP-2dck6mlw,eLCtM2m79GQ,approvato dall'intervistato,Magenta/ciano,Non più divari,14,Editore,scala europea,13,0'15'',qualità dell'istruzione,23,0'38'',aree industriali,1'04'',Sud;equo;scuola;economia,,,
5,1,Tito Boeri,x,MN,,,le pensioni,19-Oct,,YDpebu-FU7c,y3K55wPxHww,approvato dall'intervistato,Blu/verde,Pensioni sostenibili,20,Presidente INPS,Reagisce,8,0'45'',Rischio demografico,19,1'15'',Previdenza integrativa,1'49'',generazioni;istituzioni;welfare,,,img/thumbs/tboeri-thumb.png
